tag_ident,gender,date,season,day-month,distance
1292,f,5/22/2014,Spring,22-May,747.9515972
1292,f,5/23/2014,Spring,23-May,3906.701952
1292,f,5/24/2014,Spring,24-May,4696.490797
1292,f,5/25/2014,Spring,25-May,2450.894188
1750,f,5/15/2011,Spring,15-May,440.4374991
1750,f,5/16/2011,Spring,16-May,748.8151422
1750,f,5/17/2011,Spring,17-May,1124.193492
1750,f,5/18/2011,Spring,18-May,1109.867008
1750,f,5/19/2011,Spring,19-May,935.9460754
1750,f,5/20/2011,Spring,20-May,1087.110905
1750,f,5/21/2011,Spring,21-May,1530.078853
1750,f,5/22/2011,Spring,22-May,1476.107266
1750,f,5/23/2011,Spring,23-May,1592.083221
1750,f,5/24/2011,Spring,24-May,2179.770136
1750,f,5/25/2011,Spring,25-May,2115.282092
1750,f,5/26/2011,Spring,26-May,4499.677182
1750,f,5/27/2011,Spring,27-May,1170.45438
1750,f,5/28/2011,Spring,28-May,1988.543313
1750,f,5/29/2011,Spring,29-May,6099.980766
1750,f,5/30/2011,Spring,30-May,3942.379004
1750,f,5/31/2011,Spring,31-May,3488.315633
1750,f,6/1/2011,Spring,1-Jun,1401.369453
1750,f,6/2/2011,Spring,2-Jun,4616.346235
1750,f,6/3/2011,Spring,3-Jun,3436.400861
1750,f,6/4/2011,Spring,4-Jun,2853.68072
1750,f,6/5/2011,Spring,5-Jun,6710.128213
1750,f,6/6/2011,Spring,6-Jun,2495.019595
1750,f,6/7/2011,Spring,7-Jun,2985.764785
1750,f,6/8/2011,Spring,8-Jun,10088.38933
1750,f,6/9/2011,Spring,9-Jun,5048.767405
1750,f,6/10/2011,Spring,10-Jun,6903.129136
1750,f,6/11/2011,Spring,11-Jun,3795.210492
1750,f,6/12/2011,Spring,12-Jun,2534.202657
1750,f,6/13/2011,Spring,13-Jun,1401.259528
1750,f,6/14/2011,Spring,14-Jun,6916.496345
1750,f,6/15/2011,Spring,15-Jun,11373.59292
1750,f,6/16/2011,Spring,16-Jun,2825.117701
1750,f,6/17/2011,Spring,17-Jun,1279.235656
1751,m,6/3/2011,Spring,3-Jun,387.8972963
1751,m,6/4/2011,Spring,4-Jun,1218.796733
1751,m,6/5/2011,Spring,5-Jun,726.4120988
1751,m,6/6/2011,Spring,6-Jun,955.7733839
1751,m,6/7/2011,Spring,7-Jun,1710.549234
1751,m,6/8/2011,Spring,8-Jun,3700.386328
1751,m,6/9/2011,Spring,9-Jun,2753.062413
1751,m,6/10/2011,Spring,10-Jun,1901.563127
1751,m,6/11/2011,Spring,11-Jun,2500.532627
1751,m,6/12/2011,Spring,12-Jun,4728.19811
1751,m,6/13/2011,Spring,13-Jun,3742.477971
1751,m,6/14/2011,Spring,14-Jun,1385.144962
1751,m,6/15/2011,Spring,15-Jun,3796.512195
1751,m,6/16/2011,Spring,16-Jun,1817.999923
1751,m,6/17/2011,Spring,17-Jun,3174.259369
1751,m,6/18/2011,Spring,18-Jun,2021.682228
1751,m,6/19/2011,Spring,19-Jun,2906.773515
1751,m,6/20/2011,Spring,20-Jun,1912.329521
1751,m,6/21/2011,Spring,21-Jun,1055.900788
1751,m,6/22/2011,Summer,22-Jun,869.9305232
1751,m,6/23/2011,Summer,23-Jun,1227.92174
1751,m,6/24/2011,Summer,24-Jun,2405.745076
1751,m,6/25/2011,Summer,25-Jun,1954.187994
1751,m,6/26/2011,Summer,26-Jun,1167.047294
1751,m,6/27/2011,Summer,27-Jun,648.6369002
1751,m,6/28/2011,Summer,28-Jun,520.8556949
1751,m,6/29/2011,Summer,29-Jun,1287.138001
1751,m,6/30/2011,Summer,30-Jun,2085.280576
1751,m,7/1/2011,Summer,1-Jul,3167.446446
1751,m,7/2/2011,Summer,2-Jul,1094.616407
1751,m,7/3/2011,Summer,3-Jul,2303.606223
1751,m,7/4/2011,Summer,4-Jul,1005.054827
1753,f,5/19/2012,Spring,19-May,592.9632097
1753,f,5/20/2012,Spring,20-May,4637.892555
1753,f,5/21/2012,Spring,21-May,5373.184923
1753,f,5/22/2012,Spring,22-May,8852.568409
1753,f,5/23/2012,Spring,23-May,3449.204385
1753,f,5/24/2012,Spring,24-May,3212.969626
1753,f,5/25/2012,Spring,25-May,9629.846629
1753,f,5/26/2012,Spring,26-May,9984.232073
1753,f,5/27/2012,Spring,27-May,2418.625746
1753,f,5/28/2012,Spring,28-May,5474.654248
1753,f,5/29/2012,Spring,29-May,7792.368203
1753,f,5/30/2012,Spring,30-May,1371.59436
1753,f,5/31/2012,Spring,31-May,2641.93158
1753,f,6/1/2012,Spring,1-Jun,3710.106934
1753,f,6/2/2012,Spring,2-Jun,4079.185849
1753,f,6/3/2012,Spring,3-Jun,3365.506403
