tag_ident,gender,date,hour,season,day-month,distance
1292,f,5/23/2014,0,Spring,23-May,153.2509717
1292,f,5/23/2014,1,Spring,23-May,103.5932951
1292,f,5/23/2014,2,Spring,23-May,137.070801
1292,f,5/23/2014,3,Spring,23-May,120.0904898
1292,f,5/23/2014,19,Spring,23-May,320.7325144
1292,f,5/23/2014,20,Spring,23-May,306.0976655
1292,f,5/23/2014,21,Spring,23-May,278.0086748
1292,f,5/23/2014,22,Spring,23-May,176.7633998
1292,f,5/23/2014,23,Spring,23-May,239.5862902
1292,f,5/24/2014,0,Spring,24-May,880.4102743
1292,f,5/24/2014,1,Spring,24-May,735.5971174
1292,f,5/24/2014,2,Spring,24-May,832.2314423
1292,f,5/24/2014,3,Spring,24-May,137.2745728
1292,f,5/24/2014,19,Spring,24-May,114.6546817
1292,f,5/24/2014,20,Spring,24-May,464.1073446
1292,f,5/24/2014,21,Spring,24-May,401.7592276
1292,f,5/24/2014,22,Spring,24-May,670.8475415
1292,f,5/24/2014,23,Spring,24-May,923.7076558
1292,f,5/25/2014,0,Spring,25-May,147.4881857
1292,f,5/25/2014,1,Spring,25-May,912.6865919
1292,f,5/25/2014,2,Spring,25-May,814.8045361
1292,f,5/25/2014,3,Spring,25-May,246.4350322
1292,f,5/25/2014,19,Spring,25-May,471.0674576
1292,f,5/25/2014,20,Spring,25-May,637.9358931
1292,f,5/25/2014,21,Spring,25-May,103.1169772
1292,f,5/25/2014,22,Spring,25-May,229.3599784
1750,f,5/15/2011,23,Spring,15-May,60.49385139
1750,f,5/16/2011,0,Spring,16-May,60.51065991
1750,f,5/16/2011,1,Spring,16-May,72.34422537
1750,f,5/16/2011,2,Spring,16-May,143.7653626
1750,f,5/16/2011,18,Spring,16-May,33.65635634
1750,f,5/16/2011,19,Spring,16-May,68.87098335
1750,f,5/16/2011,20,Spring,16-May,78.07839345
1750,f,5/16/2011,21,Spring,16-May,29.75404905
1750,f,5/16/2011,22,Spring,16-May,108.5072552
1750,f,5/16/2011,23,Spring,16-May,71.73630218
1750,f,5/17/2011,0,Spring,17-May,39.44974739
1750,f,5/17/2011,1,Spring,17-May,72.83802269
1750,f,5/17/2011,2,Spring,17-May,102.4593104
1750,f,5/17/2011,3,Spring,17-May,139.8897615
1750,f,5/17/2011,18,Spring,17-May,121.8280466
1750,f,5/17/2011,19,Spring,17-May,135.9111611
1750,f,5/17/2011,20,Spring,17-May,267.3882026
1750,f,5/17/2011,21,Spring,17-May,51.7848846
1750,f,5/17/2011,22,Spring,17-May,73.74796642
1750,f,5/17/2011,23,Spring,17-May,30.38646058
1750,f,5/18/2011,0,Spring,18-May,29.57478818
1750,f,5/18/2011,1,Spring,18-May,191.7665334
1750,f,5/18/2011,2,Spring,18-May,102.6130248
1750,f,5/18/2011,3,Spring,18-May,110.0188389
1750,f,5/18/2011,17,Spring,18-May,99.36573283
1750,f,5/18/2011,18,Spring,18-May,37.75919683
1750,f,5/18/2011,19,Spring,18-May,95.59704512
1750,f,5/18/2011,20,Spring,18-May,219.1374366
1750,f,5/18/2011,21,Spring,18-May,75.64736016
1750,f,5/18/2011,22,Spring,18-May,38.78778191
1750,f,5/18/2011,23,Spring,18-May,36.0713137
1750,f,5/19/2011,0,Spring,19-May,182.3633288
1750,f,5/19/2011,1,Spring,19-May,189.6818771
1750,f,5/19/2011,18,Spring,19-May,217.6302638
1750,f,5/19/2011,19,Spring,19-May,37.08568783
1750,f,5/19/2011,20,Spring,19-May,65.04772495
1750,f,5/19/2011,21,Spring,19-May,65.16708434
1750,f,5/19/2011,22,Spring,19-May,131.656818
1750,f,5/19/2011,23,Spring,19-May,133.1203521
1750,f,5/20/2011,0,Spring,20-May,79.24581353
1750,f,5/20/2011,1,Spring,20-May,48.43261134
1750,f,5/20/2011,2,Spring,20-May,14.3294423
1750,f,5/20/2011,3,Spring,20-May,32.16955609
1750,f,5/20/2011,18,Spring,20-May,46.84285061
1750,f,5/20/2011,19,Spring,20-May,47.07705219
1750,f,5/21/2011,1,Spring,21-May,69.55950864
1750,f,5/21/2011,2,Spring,21-May,48.75142342
1750,f,5/21/2011,3,Spring,21-May,511.3778431
1750,f,5/21/2011,18,Spring,21-May,36.2821982
1750,f,5/21/2011,19,Spring,21-May,246.1829057
1750,f,5/21/2011,20,Spring,21-May,157.0921449
1750,f,5/21/2011,21,Spring,21-May,117.8473413
1750,f,5/21/2011,22,Spring,21-May,80.30958699
1750,f,5/21/2011,23,Spring,21-May,273.9223191
1750,f,5/22/2011,0,Spring,22-May,358.2708541
1750,f,5/22/2011,1,Spring,22-May,113.1954481
1750,f,5/22/2011,2,Spring,22-May,36.37341275
1750,f,5/22/2011,17,Spring,22-May,31.24341026
1750,f,5/22/2011,18,Spring,22-May,49.44781976
1750,f,5/22/2011,19,Spring,22-May,78.41466074
1750,f,5/22/2011,20,Spring,22-May,166.1434302
1750,f,5/22/2011,21,Spring,22-May,59.29243072
1750,f,5/22/2011,22,Spring,22-May,241.6154332
1750,f,5/22/2011,23,Spring,22-May,100.3597969
1750,f,5/23/2011,0,Spring,23-May,385.7502477
1750,f,5/23/2011,1,Spring,23-May,213.1325144
1750,f,5/23/2011,2,Spring,23-May,77.85830697
1750,f,5/23/2011,3,Spring,23-May,72.4341699
1750,f,5/23/2011,18,Spring,23-May,101.6379666
1750,f,5/23/2011,19,Spring,23-May,156.1090175
1750,f,5/23/2011,20,Spring,23-May,270.3154586
1750,f,5/23/2011,21,Spring,23-May,72.83271272
1750,f,5/23/2011,22,Spring,23-May,114.465278
1750,f,5/23/2011,23,Spring,23-May,248.9791491
1750,f,5/24/2011,0,Spring,24-May,275.5542446
1750,f,5/24/2011,1,Spring,24-May,176.2806441
1750,f,5/24/2011,2,Spring,24-May,120.6078327
1750,f,5/24/2011,17,Spring,24-May,93.04694613
1750,f,5/24/2011,18,Spring,24-May,44.59540966
1750,f,5/24/2011,19,Spring,24-May,157.2753039
1750,f,5/24/2011,20,Spring,24-May,59.90596724
1750,f,5/24/2011,21,Spring,24-May,417.8113181
1750,f,5/24/2011,22,Spring,24-May,1033.37068
1750,f,5/24/2011,23,Spring,24-May,77.22092991
1750,f,5/25/2011,0,Spring,25-May,73.78642454
1750,f,5/25/2011,1,Spring,25-May,80.94603778
1750,f,5/25/2011,2,Spring,25-May,89.44760262
1750,f,5/25/2011,3,Spring,25-May,51.47701998
1750,f,5/25/2011,17,Spring,25-May,99.29695746
1750,f,5/25/2011,18,Spring,25-May,200.8865149
1750,f,5/25/2011,19,Spring,25-May,236.6806186
1750,f,5/25/2011,20,Spring,25-May,175.1261596
1750,f,5/25/2011,21,Spring,25-May,27.77095412
1750,f,5/25/2011,22,Spring,25-May,293.6132275
1750,f,5/25/2011,23,Spring,25-May,198.8488196
1750,f,5/26/2011,0,Spring,26-May,500.1613597
1750,f,5/26/2011,1,Spring,26-May,125.4240032
1750,f,5/26/2011,2,Spring,26-May,251.3144438
1750,f,5/26/2011,18,Spring,26-May,68.74157547
1750,f,5/26/2011,19,Spring,26-May,171.410111
1750,f,5/26/2011,20,Spring,26-May,357.2049843
1750,f,5/26/2011,21,Spring,26-May,587.9729655
1750,f,5/26/2011,22,Spring,26-May,1385.322468
1750,f,5/26/2011,23,Spring,26-May,241.3564002
1750,f,5/27/2011,0,Spring,27-May,1062.544826
