tag_ident,Gender,Date,Hour,Distance,Season,month-day
1292,f,5/22/2014,23,233.9460396,Spring,22-May
1292,f,5/23/2014,0,153.2509717,Spring,23-May
1292,f,5/23/2014,1,103.5932951,Spring,23-May
1292,f,5/23/2014,2,137.070801,Spring,23-May
1292,f,5/23/2014,3,120.0904898,Spring,23-May
1292,f,5/23/2014,19,320.7325144,Spring,23-May
1292,f,5/23/2014,20,306.0976655,Spring,23-May
1292,f,5/23/2014,21,278.0086748,Spring,23-May
1292,f,5/23/2014,22,176.7633998,Spring,23-May
1292,f,5/23/2014,23,239.5862902,Spring,23-May
1292,f,5/24/2014,0,880.4102743,Spring,24-May
1292,f,5/24/2014,1,735.5971174,Spring,24-May
1292,f,5/24/2014,2,832.2314423,Spring,24-May
1292,f,5/24/2014,3,137.2745728,Spring,24-May
1292,f,5/24/2014,19,114.6546817,Spring,24-May
1292,f,5/24/2014,20,464.1073446,Spring,24-May
1292,f,5/24/2014,21,401.7592276,Spring,24-May
1292,f,5/24/2014,22,670.8475415,Spring,24-May
1292,f,5/24/2014,23,923.7076558,Spring,24-May
1292,f,5/25/2014,0,147.4881857,Spring,25-May
1292,f,5/25/2014,1,912.6865919,Spring,25-May
1292,f,5/25/2014,2,814.8045361,Spring,25-May
1292,f,5/25/2014,3,246.4350322,Spring,25-May
1292,f,5/25/2014,19,471.0674576,Spring,25-May
1292,f,5/25/2014,20,637.9358931,Spring,25-May
1292,f,5/25/2014,21,103.1169772,Spring,25-May
1292,f,5/25/2014,22,229.3599784,Spring,25-May
1750,f,5/15/2011,23,60.49385139,Spring,15-May
1750,f,5/16/2011,0,60.51065991,Spring,16-May
1750,f,5/16/2011,1,72.34422537,Spring,16-May
1750,f,5/16/2011,2,143.7653626,Spring,16-May
1750,f,5/16/2011,3,103.3233999,Spring,16-May
1750,f,5/16/2011,18,33.65635634,Spring,16-May
1750,f,5/16/2011,19,68.87098335,Spring,16-May
1750,f,5/16/2011,20,78.07839345,Spring,16-May
1750,f,5/16/2011,21,29.75404905,Spring,16-May
1750,f,5/16/2011,22,108.5072552,Spring,16-May
1750,f,5/16/2011,23,71.73630218,Spring,16-May
1750,f,5/17/2011,0,39.44974739,Spring,17-May
1750,f,5/17/2011,1,72.83802269,Spring,17-May
1750,f,5/17/2011,2,102.4593104,Spring,17-May
1750,f,5/17/2011,3,139.8897615,Spring,17-May
1750,f,5/17/2011,4,3.574960573,Spring,17-May
1750,f,5/17/2011,17,8.699528882,Spring,17-May
1750,f,5/17/2011,18,121.8280466,Spring,17-May
1750,f,5/17/2011,19,135.9111611,Spring,17-May
1750,f,5/17/2011,20,267.3882026,Spring,17-May
1750,f,5/17/2011,21,51.7848846,Spring,17-May
1750,f,5/17/2011,22,73.74796642,Spring,17-May
1750,f,5/17/2011,23,30.38646058,Spring,17-May
1750,f,5/18/2011,0,29.57478818,Spring,18-May
1750,f,5/18/2011,1,191.7665334,Spring,18-May
1750,f,5/18/2011,2,102.6130248,Spring,18-May
1750,f,5/18/2011,3,110.0188389,Spring,18-May
1750,f,5/18/2011,4,0.474056027,Spring,18-May
1750,f,5/18/2011,17,99.36573283,Spring,18-May
1750,f,5/18/2011,18,37.75919683,Spring,18-May
1750,f,5/18/2011,19,95.59704512,Spring,18-May
1750,f,5/18/2011,20,219.1374366,Spring,18-May
1750,f,5/18/2011,21,75.64736016,Spring,18-May
1750,f,5/18/2011,22,38.78778191,Spring,18-May
1750,f,5/18/2011,23,36.0713137,Spring,18-May
1750,f,5/19/2011,0,182.3633288,Spring,19-May
1750,f,5/19/2011,1,189.6818771,Spring,19-May
1750,f,5/19/2011,2,135.4559348,Spring,19-May
1750,f,5/19/2011,17,111.9610081,Spring,19-May
1750,f,5/19/2011,18,217.6302638,Spring,19-May
1750,f,5/19/2011,19,37.08568783,Spring,19-May
1750,f,5/19/2011,20,65.04772495,Spring,19-May
1750,f,5/19/2011,21,65.16708434,Spring,19-May
1750,f,5/19/2011,22,131.656818,Spring,19-May
1750,f,5/19/2011,23,133.1203521,Spring,19-May
1750,f,5/20/2011,0,79.24581353,Spring,20-May
1750,f,5/20/2011,1,48.43261134,Spring,20-May
1750,f,5/20/2011,2,14.3294423,Spring,20-May
1750,f,5/20/2011,3,32.16955609,Spring,20-May
1750,f,5/20/2011,4,0.09971311,Spring,20-May
1750,f,5/20/2011,17,15.49472047,Spring,20-May
1750,f,5/20/2011,18,46.84285061,Spring,20-May
1750,f,5/20/2011,19,47.07705219,Spring,20-May
1750,f,5/21/2011,0,136.2482688,Spring,21-May
1750,f,5/21/2011,1,69.55950864,Spring,21-May
1750,f,5/21/2011,2,48.75142342,Spring,21-May
1750,f,5/21/2011,3,511.3778431,Spring,21-May
1750,f,5/21/2011,4,17.42085608,Spring,21-May
1750,f,5/21/2011,17,110.3125395,Spring,21-May
1750,f,5/21/2011,18,36.2821982,Spring,21-May
1750,f,5/21/2011,19,246.1829057,Spring,21-May
1750,f,5/21/2011,20,157.0921449,Spring,21-May
1750,f,5/21/2011,21,117.8473413,Spring,21-May
1750,f,5/21/2011,22,80.30958699,Spring,21-May
1750,f,5/21/2011,23,273.9223191,Spring,21-May
1750,f,5/22/2011,0,358.2708541,Spring,22-May
1750,f,5/22/2011,1,113.1954481,Spring,22-May
1750,f,5/22/2011,2,36.37341275,Spring,22-May
1750,f,5/22/2011,3,0.290102103,Spring,22-May
1750,f,5/22/2011,17,31.24341026,Spring,22-May
1750,f,5/22/2011,18,49.44781976,Spring,22-May
1750,f,5/22/2011,19,78.41466074,Spring,22-May
